"Abstract","Аннотация"
"Action","Action"
"Add Article","Добавить статью"
"An error occurred while updating the articles.","Ошибка при обновлении статей."
"Are you sure?","Вы уверены??"
"Article was saved","Статья сохранена"
"Article was successfully deleted.","Статья удалена успешно."
"Article was successfully saved","Статья созранена успешно."
"Article","Статья"
"Articles","Статьи"
"Body","Основной текст"
"CSV","CSV"
"Change status","Изменить статус"
"Could not find article to delete.","Не удалось найти статью для удаления."
"Created at","Создано"
"Delete Article","Удалить статью"
"Delete","Удалить"
"Disabled","Выключить"
"Edit Article '%s'","Редактировать статью '%s'"
"Edit","Редактировать"
"Enable rss","Включить rss"
"Enabled","Включить"
"Error saving article","Ошибка сохранения статьи"
"Excel","Excel"
"Full content of the article","Полный текст статьи"
"Home","Главная"
"Id","Id"
"Image","Рисунок"
"Leave empty for no prefix","Оставить пустым при отсутствии префикса"
"Leave empty to use default URL module/controller/action","Оставить пустым для использования по умолчанию URL module/controller/action"
"Meta description for articles list page","Meta description for articles list page"
"Meta information","Meta information"
"Meta keywords for articles list page","Meta keywords for articles list page"
"Meta title for articles list page","Meta title for articles list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"No","Нет"
"None","Нет"
"Please select articles to delete.","Выбирете статью для удаления."
"Please select articles.","Выбирите статьи."
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Сброс"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Article","Сохранить статью"
"Short description, abstract","Краткое описание, аннотация, резюме"
"Show in rss","Показать в rss"
"Status","Статус"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The articles has been deleted.","The articles has been deleted."
"There was a problem saving the article.","Возникла проблем присохранении статьи."
"There was an error deleting article.","Возникла ошибка удаления статьи."
"There was an error deleting articles.","Возникла ошибка удаления статьи."
"There was an error updating articles.","Возникла ошибка обновления статьи."
"This article no longer exists.","Данной статьи больше нет."
"Title of the article","Заголовок статьи"
"Title","Заголовок"
"Total of %d articles were successfully deleted.","Всего %d статей было успешно удалено."
"Total of %d articles were successfully updated.","Всего %d статей было успешно обновлено."
"Total of %d record(s) have been deleted.","Всего %d записей удалено."
"Total of %d record(s) have been updated.","Всего %d записей обновлено."
"URL key already exists.","URL key уже существует."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find article to save.","Unable to find article to save."
"Updated at","Обновлено"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Да"
"January","Январь"
"February","Февраль"
"March","Март"
"April","Апрель"
"May","Май"
"June","Июнь"
"July","Июль"
"August","Август"
"September","Сентябрь"
"October","Октябрь"
"November","Ноябрь"
"December","Декабрь"
